predictor,cm,patch,rationality,comprehensiveness,conciseness,expressiveness
zeroshot-v1,"feat: Add base URI to QueryFactory.create in SPARQL_Query.java This commit modifies the `execute` method in `SPARQL_Query.java` to add a base URI parameter to the `QueryFactory.create` method. This change affects how the query is executed. The base URI is set to ""http://example/query-base"".","File: jena-fuseki/src/main/java/org/apache/jena/fuseki/servlets/SPARQL_Query.java
Status: modified
```diff
@@ -217,7 +217,7 @@ private void execute(String queryString, HttpAction action)
         Query query = null ;
         try {
             // NB syntax is ARQ (a superset of SPARQL)
-            query = QueryFactory.create(queryString, Syntax.syntaxARQ) ;
+            query = QueryFactory.create(queryString, ""http://example/query-base"", Syntax.syntaxARQ) ;
             queryStringLog = formatForLog(query) ;
             validateQuery(action, query) ;
         } catch (ActionErrorException ex) {
```",3,3,3,4
zeroshot-v1,add TesterClass privateStaticString,"File: test/javax/el/TesterClass.java
Status: modified
```diff
@@ -20,12 +20,15 @@ public class TesterClass {
 
     public static String publicStaticString = ""publicStaticString"";
     public String publicString = ""publicString"";
+    @SuppressWarnings(""unused"") // Used in TestStaticFieldELREsolver
     private static String privateStaticString = ""privateStaticString"";
+    @SuppressWarnings(""unused"") // Used in TestStaticFieldELREsolver
     private String privateString = ""privateString"";
 
     public TesterClass() {
     }
 
+    @SuppressWarnings(""unused"") // Used in TestStaticFieldELREsolver
     private TesterClass(String privateString) {
         this.privateString = privateString;
     }
```",2,1,1,2
zeroshot-v1,"Fix: Update close method in EjbModule.java This commit updates the close() method in the EjbModule.java file. Previously, the method was destroying the class loaders associated with the EJB module and then closing the module. Now, the method destroys the class loaders only if they are instances of TempClassLoader before closing the module. This change ensures that only the appropriate class loaders are destroyed, preventing potential issues.","File: plugins/openejb/geronimo-openejb-builder/src/main/java/org/apache/geronimo/openejb/deployment/EjbModule.java
Status: modified
```diff
@@ -30,6 +30,7 @@
 import org.apache.geronimo.openejb.xbeans.ejbjar.OpenejbGeronimoEjbJarType;
 import org.apache.openejb.ClassLoaderUtil;
 import org.apache.openejb.config.ConfigurationFactory;
+import org.apache.openejb.core.TempClassLoader;
 import org.apache.openejb.jee.EjbJar;
 import org.apache.openejb.jee.EnterpriseBean;
 import org.apache.openejb.jee.oejb3.OpenejbJar;
@@ -125,8 +126,10 @@ public Map<JndiKey, Map<String, Object>> getEjbJndiContext() {
 
     @Override
     public void close() {
-        ClassLoaderUtil.destroyClassLoader(ejbModule.getClassLoader().getParent());
-        ClassLoaderUtil.destroyClassLoader(ejbModule.getClassLoader());
+        if (ejbModule.getClassLoader() instanceof TempClassLoader) {
+            ClassLoaderUtil.destroyClassLoader(ejbModule.getClassLoader().getParent());
+            ClassLoaderUtil.destroyClassLoader(ejbModule.getClassLoader());
+        }
         super.close();
     }
 
```",3,3,3,4
zeroshot-v1,"chore: Add TODO comments for future work This commit adds TODO comments to two classes: EntityCollectionManager and EntityIndexBatch. These comments indicate future work to be done on these classes. In EntityCollectionManager, the comments suggest changing the load method to use multiget and return multiple entities, and adding a load versions method using a multiget that will return a latest version structure for a collection of entity Ids. In EntityIndexBatch, the comment suggests creating a delete method that deletes by Id, which will delete all documents from ES with the same entity Id.","File: stack/corepersistence/collection/src/main/java/org/apache/usergrid/persistence/collection/EntityCollectionManager.java
Status: modified
```diff
@@ -51,6 +51,11 @@ public interface EntityCollectionManager {
      */
     public Observable<Entity> load( Id entityId );
 
+    //TODO TN Change load to use multiget and return multiple entities.  Only supports loading 1k per load operation.
+
+
+    //TODO Dave add a load versions using a multiget that will return a latest version structure for a collection of entity Ids
+
 
     /**
      * Takes the change and reloads an entity with all changes applied in this entity applied.
```


File: stack/corepersistence/queryindex/src/main/java/org/apache/usergrid/persistence/index/EntityIndexBatch.java
Status: modified
```diff
@@ -59,6 +59,9 @@ public interface EntityIndexBatch {
      */
     public EntityIndexBatch deindex(final IndexScope scope, final Id id, final UUID version);
 
+
+    //TODO: Create a delete method that delete's  by Id.  This will delete all documents from ES with the same entity Id
+
     /**
      * Execute the batch
      */
```",3,3,2,3
zeroshot-v1,Fix: Added sleep function to ensure SchedulerDriver teardown This commit adds a sleep function to the main method in the TestFramework.java file. The sleep function is added to ensure that the SchedulerDriver teardown is complete before the JVM starts running native object destructors after System.exit() is called. This change is a corrective action to handle a potential issue where the JVM might start running native object destructors before the SchedulerDriver teardown is complete.,"File: src/examples/java/TestFramework.java
Status: modified
```diff
@@ -268,6 +268,16 @@ public static void main(String[] args) throws Exception {
     // Ensure that the driver process terminates.
     driver.stop();
 
+    // For this test to pass reliably on some platforms, this sleep is
+    // required to ensure that the SchedulerDriver teardown is complete
+    // before the JVM starts running native object destructors after
+    // System.exit() is called. 500ms proved successful in test runs,
+    // but on a heavily-loaded machine it might not.
+    // TODO(greg): Ideally, we would inspect the status of the driver
+    // and its associated tasks via the Java API and wait until their
+    // teardown is complete to exit.
+    Thread.sleep(500);
+
     System.exit(status);
   }
 }
```",3,4,2,3
zeroshot-v1,make sure streams get closed,"File: src/java/org/apache/cassandra/db/ColumnFamilyStore.java
Status: modified
```diff
@@ -2173,16 +2173,18 @@ public Set<SSTableReader> snapshotWithoutFlush(String snapshotName, Predicate<SS
     private void writeSnapshotManifest(final JSONArray filesJSONArr, final String snapshotName)
     {
         final File manifestFile = directories.getSnapshotManifestFile(snapshotName);
-        final JSONObject manifestJSON = new JSONObject();
-        manifestJSON.put(""files"", filesJSONArr);
 
         try
         {
             if (!manifestFile.getParentFile().exists())
                 manifestFile.getParentFile().mkdirs();
-            PrintStream out = new PrintStream(manifestFile);
-            out.println(manifestJSON.toJSONString());
-            out.close();
+            
+            try (PrintStream out = new PrintStream(manifestFile))
+            {
+                final JSONObject manifestJSON = new JSONObject();
+                manifestJSON.put(""files"", filesJSONArr);
+                out.println(manifestJSON.toJSONString());
+            }
         }
         catch (IOException e)
         {
```",3,2,3,3
zeroshot-v1,"Fix: Modify deliverSampler method in ProxyControl.java This commit modifies the deliverSampler method in the ProxyControl.java file. The method now filters the sampler based on content type and URL, modifies its configurations, and places it in the target controller node. If the sampler is excluded based on URL or content-type, it now notifies the sample listeners.","File: src/protocol/http/org/apache/jmeter/protocol/http/proxy/ProxyControl.java
Status: modified
```diff
@@ -381,12 +381,14 @@ public synchronized void deliverSampler(HTTPSamplerBase sampler, TestElement[] s
 
 			placeSampler(sampler, subConfigs, myTarget);
 
-			notifySampleListeners(new SampleEvent(result, sampler.getName()));
+			notifySampleListeners(new SampleEvent(result, ""WorkBench"")); // TODO - is this the correct threadgroup name?
 		}
 		else {
 			if(log.isDebugEnabled()) {
 				log.debug(""Sample excluded based on url or content-type: "" + result.getUrlAsString() + "" - "" + result.getContentType());
 			}
+			result.setSampleLabel(""[""+result.getSampleLabel()+""]"");
+			notifySampleListeners(new SampleEvent(result, ""WorkBench"")); // TODO - is this the correct threadgroup name?
 		}
 	}
 
```",3,3,2,3
zeroshot-v1,"Fix: Add null check for session in sendMessage method In the `sendMessage` method of the `JMSSender.java` file, a null check for the session has been added. If the session is null, an exception is thrown. This is a fix to prevent potential issues when the session is null.","File: java/modules/transports/src/main/java/org/apache/synapse/transport/jms/JMSSender.java
Status: modified
```diff
@@ -192,6 +192,10 @@ public void sendMessage(MessageContext msgCtx, String targetAddress,
                 }
             }
 
+            if(session == null) {
+               handleException(""Could not create JMS session"");
+            }
+            
             // now we are going to use the JMS session, but if this was a session from a
             // defined JMS connection factory, we need to synchronize as sessions are not
             // thread safe
```",3,3,3,4
zeroshot-v1,fix a bug in assembleModelInheritance,"File: maven-core/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
Status: modified
```diff
@@ -159,6 +159,12 @@ public void assembleModelInheritance( Model child, Model parent )
             }
         }
 
+        // ciManagement
+        if ( child.getCiManagement() == null )
+        {
+            child.setCiManagement( parent.getCiManagement() );
+        }
+
         // developers
         if ( child.getDevelopers().size() == 0 )
         {
```",2,1,2,2
zeroshot-v1,add missing javadoc,"File: blocks/cocoon-xsp/cocoon-xsp-impl/src/main/java/org/apache/cocoon/components/language/markup/xsp/XSPSessionFwHelper.java
Status: modified
```diff
@@ -28,6 +28,7 @@
  * The <code>Session-fw</code> object helper
  *
  * @version $Id$
+ * @deprecated This class is deprecated and will be removed in future versions.
  * @since 2.1.1
  */
 public class XSPSessionFwHelper {
```",3,2,3,4
zeroshot-v1,remove author tag,"File: maven-plugins/maven-compiler-plugin/src/main/java/org/apache/maven/plugin/CompilerMojo.java
Status: modified
```diff
@@ -23,8 +23,6 @@
  * @phase compile
  * @requiresDependencyResolution compile
  * @description Compiles application sources
- * @todo change debug parameter type to Boolean
- * @todo change staleMillis parameter type to Long
  */
 
 public class CompilerMojo
```",2,1,3,2
zeroshot-v1,Add missing import,"File: src/testcases/org/apache/tools/tar/TarRoundTripTest.java
Status: modified
```diff
@@ -54,6 +54,7 @@
 package org.apache.tools.tar;
 
 import java.io.IOException;
+import java.io.ByteArrayInputStream;
 import java.io.ByteArrayOutputStream;
 import junit.framework.TestCase;
 
```",2,1,2,2
zeroshot-v1,"Refactor: Prevent multiple closings of files in BigTableScanner This commit introduces a new variable `isClosed` in the `BigTableScanner` class to track whether the data and index files have been closed. The `close()` method is modified to check this variable before closing the files. This change prevents the files from being closed multiple times, which could potentially lead to a NullPointerException as reported in issue CASSANDRA-9531.","File: src/java/org/apache/cassandra/io/sstable/format/big/BigTableScanner.java
Status: modified
```diff
@@ -19,6 +19,7 @@
 
 import java.io.IOException;
 import java.util.*;
+import java.util.concurrent.atomic.AtomicBoolean;
 
 import com.google.common.collect.AbstractIterator;
 import com.google.common.collect.Ordering;
@@ -51,6 +52,7 @@
 
 public class BigTableScanner implements ISSTableScanner
 {
+    private AtomicBoolean isClosed = new AtomicBoolean(false);
     protected final RandomAccessReader dfile;
     protected final RandomAccessReader ifile;
     public final SSTableReader sstable;
@@ -193,7 +195,8 @@ private void seekToCurrentRangeStart()
 
     public void close() throws IOException
     {
-        FileUtils.close(dfile, ifile);
+        if (isClosed.compareAndSet(false, true))
+            FileUtils.close(dfile, ifile);
     }
 
     public long getLengthInBytes()
```",4,4,3,4
zeroshot-v1,Refactor: Remove print statement from AccessLogSamplerGui Removed a print statement from the createTestElement() method in the AccessLogSamplerGui class. This is a part of code cleanup and does not affect the functionality of the class. The AccessLogSamplerGui class is used for configuring and managing an AccessLogSampler in JMeter.,"File: src/protocol/http/org/apache/jmeter/protocol/http/control/gui/AccessLogSamplerGui.java
Status: modified
```diff
@@ -162,7 +162,6 @@ public String getStaticLabel()
     public TestElement createTestElement()
     {
     	if (SAMPLER == null){
-    		System.out.println(""the sampler was null, therefore we create a new one"");
 			SAMPLER = new AccessLogSampler();
 			SAMPLER.setSamplerGUI(this);
 			this.configureTestElement(SAMPLER);
```",3,3,3,4
zeroshot-v1,Refactor: Update documentation in JvmRouteBinderValve.java This commit updates the documentation in the JvmRouteBinderValve.java file. The instructions on how to add this Valve to the configuration have been updated. The changes do not affect the functionality of the code.,"File: java/org/apache/catalina/ha/session/JvmRouteBinderValve.java
Status: modified
```diff
@@ -50,25 +50,14 @@
  * restarted!
  *
  * <p>
- * Add this Valve to your host definition at conf/server.xml .
- *
- * Since 5.5.10 as direct cluster valve:<br>
+ * Add this Valve to your cluster definition at conf/server.xml .
  *
  * <pre>
  *  &lt;Cluster&gt;
  *  &lt;Valve className=&quot;org.apache.catalina.ha.session.JvmRouteBinderValve&quot; /&gt;
  *  &lt;/Cluster&gt;
  * </pre>
  *
- * <br>
- * Before 5.5.10 as Host element:<br>
- *
- * <pre>
- *  &lt;Host&gt;
- *  &lt;Valve className=&quot;org.apache.catalina.ha.session.JvmRouteBinderValve&quot; /&gt;
- *  &lt;/Host&gt;
- * </pre>
- *
  * <em>A Trick:</em><br>
  * You can enable this mod_jk turnover mode via JMX before you drop a node to
  * all backup nodes! Set enable true on all JvmRouteBinderValve backups, disable
```",3,3,2,3
zeroshot-v1,master is not accessible via getComputer,"File: labs/jenkins/src/test/java/org/jclouds/jenkins/v1/features/ComputerClientLiveTest.java
Status: modified
```diff
@@ -39,8 +39,10 @@ public void testGetComputerView(){
       assertNotNull(view.getDisplayName());
       for (Computer computerFromView : view.getComputers()) {
          assertNotNull(computerFromView.getDisplayName());
-         Computer computerFromGetRequest = getClient().getComputer(computerFromView.getDisplayName());
-         assertEquals(computerFromGetRequest, computerFromView);
+         if (!""master"".equals(computerFromView.getDisplayName())) {
+            Computer computerFromGetRequest = getClient().getComputer(computerFromView.getDisplayName());
+            assertEquals(computerFromGetRequest, computerFromView);
+         }
       }
    }
 
```",2,1,2,3
zeroshot-v1,add missing javadoc,"File: maven-core/src/main/java/org/apache/maven/plugin/PluginException.java
Status: modified
```diff
@@ -21,6 +21,7 @@
  *
  * @author <a href=""mailto:carlos@apache.org"">Carlos Sanchez</a>
  * @version $Id$
+ * @since 2.0.5
  */
 public abstract class PluginException
     extends Exception
```",2,1,3,2
zeroshot-v1,generateQueueName now removes colons as well as semi-colons,"File: qpid/java/client/src/org/apache/qpid/client/protocol/AMQProtocolSession.java
Status: modified
```diff
@@ -385,8 +385,8 @@ protected String generateQueueName()
         {
             id = _queueId++;
         }
-        //get rid of / and ; from address for spec conformance
-        String localAddress = StringUtils.replaceChars(_minaProtocolSession.getLocalAddress().toString(),""/;"","""");
+        //get rid of / and : and ; from address for spec conformance
+        String localAddress = StringUtils.replaceChars(_minaProtocolSession.getLocalAddress().toString(),""/;:"","""");
         return ""tmp_"" + localAddress + ""_"" + id;
     }
 
```",3,3,3,4
zeroshot-v1,"Call the addNormalized(RDN) method which is much faster than the add(RDN), as the RDN is not normalized again. ","File: core/src/main/java/org/apache/directory/server/core/referral/ReferralLut.java
Status: modified
```diff
@@ -99,7 +99,7 @@ public LdapDN getFarthestReferralAncestor( LdapDN dn )
         
         for ( int ii = 0; ii < dn.size(); ii++ )
         {
-            farthest.add( dn.getRdn( ii ) );
+            farthest.addNormalized( dn.getRdn( ii ) );
 
             // do not return dn if it is the farthest referral
             if ( isReferral( farthest ) && ( farthest.size() != dn.size() ) )
```",3,2,2,3
zeroshot-v1,Implement debug logging in InternalNioInputBuffer. Log what we got with the first read.,"File: java/org/apache/coyote/http11/InternalNioInputBuffer.java
Status: modified
```diff
@@ -39,6 +39,11 @@
  */
 public class InternalNioInputBuffer extends AbstractInputBuffer {
 
+    /**
+     * Logger.
+     */
+    private static org.apache.juli.logging.Log log
+        = org.apache.juli.logging.LogFactory.getLog(InternalNioInputBuffer.class);
 
     // -------------------------------------------------------------- Constants
 
@@ -228,6 +233,11 @@ public boolean parseRequestLine(boolean useAvailableDataOnly)
                 if ( readSocket(true, false)==0 ) return false;
             }
             parsingRequestLinePhase = 2;
+            if (log.isDebugEnabled()) {
+                log.debug(""Received [""
+                        + new String(buf, pos, lastValid - pos, ""ISO-8859-1"")
+                        + ""]"");
+            }
         }
         if ( parsingRequestLinePhase == 2 ) {
             //
```",3,2,3,4
zeroshot-v1,Simply subclassing did not work as expected. Made a copy now.,"File: src/java/org/apache/fop/fo/extensions/OldExtensionElementMapping.java
Status: modified
```diff
@@ -18,10 +18,15 @@
 
 package org.apache.fop.fo.extensions;
 
+import java.util.HashMap;
+
+import org.apache.fop.fo.ElementMapping;
+import org.apache.fop.fo.UnknownXMLObj;
+
 /**
- * Element mapping for the old FOP extension namespace. It is simply mapped to the new namespace.
+ * Element mapping for the old FOP extension namespace.
  */
-public class OldExtensionElementMapping extends ExtensionElementMapping {
+public class OldExtensionElementMapping extends ElementMapping {
     
     /** The old FOP extension namespace URI (FOP 0.20.5 and earlier) */
     public static final String URI = ""http://xml.apache.org/fop/extensions"";
@@ -33,4 +38,14 @@ public OldExtensionElementMapping() {
         namespaceURI = URI;
     }
 
+    /**
+     * Initialize the data structures.
+     */
+    protected void initialize() {
+        if (foObjs == null) {
+            foObjs = new HashMap();
+            foObjs.put(""outline"", new UnknownXMLObj.Maker(URI));
+            foObjs.put(""label"", new UnknownXMLObj.Maker(URI));
+        }
+    }
 }
```",2,1,1,2
zeroshot-v1,"Style: Add newline at end of NativeCommand.java This commit adds a newline at the end of the NativeCommand.java file. The change is purely stylistic and does not affect the functionality of the NativeCommand class, which executes system commands with specified environment variables and working directory.","File: src/protocol/native/org/apache/jmeter/protocol/system/NativeCommand.java
Status: modified
```diff
@@ -48,4 +48,4 @@ public NativeCommand(File directory, Map<String, String> env, String stdin, Stri
         super(directory, 0L, 100, env, stdin, stdout, stderr);
     }
 
-}
\ No newline at end of file
+}
```",3,3,3,4
zeroshot-v1,Assumed that the timstamp was always at the end,"File: src/core/org/apache/jmeter/visualizers/SamplingStatCalculator.java
Status: modified
```diff
@@ -224,7 +224,7 @@ public Sample getSample(int index) {
 	}
 
 	private long getEndTime(SampleResult res) {
-		long endTime = res.getTimeStamp();
+		long endTime = res.getEndTime();
 		long lastTime = getCurrentSample().getEndTime();
 		if (res.isStampedAtStart()) {
 			endTime += res.getTime();
@@ -364,4 +364,4 @@ public Number getPercentPoint(float percent) {
 	public double getStandardDeviation() {
 		return calculator.getStandardDeviation();
 	}
-} // class RunningSample
+}
```",2,1,1,2
zeroshot-v1,"Refactor: Change condition order in while loop of makeProductIdList method The condition order in the while loop of the makeProductIdList method in the ProductSearch class has been changed. This is a refactor and does not affect the overall functionality of the method or the class. The method is used to create a list of unique product IDs from the given EntityListIterator, handling pagination and avoiding duplicates. The class provides utilities for product search based on various constraints like categories, features, and keywords.","File: applications/product/src/org/ofbiz/product/product/ProductSearch.java
Status: modified
```diff
@@ -717,7 +717,7 @@ public ArrayList<String> makeProductIdList(EntityListIterator eli) {
                 productIds.add(searchResult.getString(""mainProductId""));
                 productIdSet.add(searchResult.getString(""mainProductId""));
 
-                while (((searchResult = (GenericValue) eli.next()) != null) && (maxResults == null || numRetreived < maxResults.intValue())) {
+                while ((maxResults == null || numRetreived < maxResults.intValue()) && ((searchResult = (GenericValue) eli.next()) != null)) {
                     String productId = searchResult.getString(""mainProductId"");
                     if (!productIdSet.contains(productId)) {
                         productIds.add(productId);
```",3,3,3,4
zeroshot-v1,fix PMapQuadTable delete,"File: jena-arq/src/main/java/org/apache/jena/sparql/core/mem/PMapQuadTable.java
Status: modified
```diff
@@ -95,12 +95,6 @@ public Stream<Quad> find(Node g, Node s, Node p, Node o) {
     /**
      * We descend through the nested {@link PMap}s building up {@link Stream}s of partial tuples from which we develop a
      * {@link Stream} of full tuples which is our result. Use {@link Node#ANY} or <code>null</code> for a wildcard.
-     *
-     * @param first the value in the first slot of the tuple
-     * @param second the value in the second slot of the tuple
-     * @param third the value in the third slot of the tuple
-     * @param fourth the value in the fourth slot of the tuple
-     * @return a <code>Stream</code> of tuples matching the pattern
      */
     @SuppressWarnings(""unchecked"") // Because of (Stream<Quad>) -- but why is that needed?
     private TFunction4<Node, Stream<Quad>> find = (first, second, third, fourth) -> {
@@ -157,6 +151,7 @@ protected TConsumer4<Node> add() {
         };
     }
 
+    @Override
     protected TConsumer4<Node> delete() {
         return (first, second, third, fourth) -> {
             debug(""Removing four-tuple: {} {} {} {} ."", first, second, third, fourth);
```


File: jena-arq/src/main/java/org/apache/jena/sparql/core/mem/PMapTripleTable.java
Status: modified
```diff
@@ -94,11 +94,6 @@ public Stream<Triple> find(final Node s, final Node p, final Node o) {
     /**
      * We descend through the nested {@link PMap}s building up {@link Stream}s of partial tuples from which we develop a
      * {@link Stream} of full tuples which is our result. Use {@link Node#ANY} or <code>null</code> for a wildcard.
-     *
-     * @param first the value in the first slot of the tuple
-     * @param second the value in the second slot of the tuple
-     * @param third the value in the third slot of the tuple
-     * @return a <code>Stream</code> of tuples matching the pattern
      */
     @SuppressWarnings(""unchecked"") // Because of (Stream<Triple>) -- but why is that needed?
     private TFunction3<Node, Stream<Triple>> find = (first, second, third) -> {
```",2,1,1,2
zeroshot-v1,fix a bug in SourceUtil,"File: src/java/org/apache/lenya/cms/cocoon/source/SourceUtil.java
Status: modified
```diff
@@ -30,7 +30,7 @@
 
 import org.apache.avalon.framework.service.ServiceException;
 import org.apache.avalon.framework.service.ServiceManager;
-import org.apache.commons.io.CopyUtils;
+import org.apache.commons.io.IOUtils;
 import org.apache.commons.io.output.ByteArrayOutputStream;
 import org.apache.excalibur.source.ModifiableSource;
 import org.apache.excalibur.source.Source;
@@ -75,10 +75,10 @@ public static void copy(Source source, ModifiableSource destination, boolean use
 
             if (useBuffer) {
                 final ByteArrayOutputStream sourceBos = new ByteArrayOutputStream();
-                CopyUtils.copy(sourceInputStream, sourceBos);
-                CopyUtils.copy(sourceBos.toByteArray(), destOutputStream);
+                IOUtils.copy(sourceInputStream, sourceBos);
+                IOUtils.write(sourceBos.toByteArray(), destOutputStream);
             } else {
-                CopyUtils.copy(sourceInputStream, destOutputStream);
+                IOUtils.copy(sourceInputStream, destOutputStream);
             }
         } finally {
             if (destOutputStream != null) {
```",2,1,1,2
zeroshot-v1,remove unused parameter,"File: ambari-server/src/test/java/org/apache/ambari/server/controller/metrics/timeline/cache/TimelineMetricCacheTest.java
Status: modified
```diff
@@ -419,7 +419,7 @@ public void testTimelineMetricCachePrecisionUpdates() throws Exception {
     long year = 365 * day;
 
     //Original Values
-    Map<String, TimelineMetric> valueMap = new HashMap();
+    Map<String, TimelineMetric> valueMap = new HashMap<String, TimelineMetric>();
     TimelineMetric timelineMetric = new TimelineMetric();
     timelineMetric.setMetricName(""cpu_user"");
     timelineMetric.setAppId(""app1"");
```",3,2,3,3
zeroshot-v1,remove unused code,"File: wicket/src/java/wicket/protocol/http/MockWebApplication.java
Status: modified
```diff
@@ -115,12 +115,6 @@ public class MockWebApplication extends WebApplication
 	/** Session. */
 	private WebSession wicketSession;
 
-	/**
-	 * In case of an RuntimeException, Wicket usually renders a error page. In
-	 * some test cases however it is useful to get the exception instead.
-	 */
-	private boolean rethrowRuntimeException = false;
-
 	/**
 	 * Create the mock http application that can be used for testing.
 	 * 
@@ -373,17 +367,6 @@ public void setupRequestAndResponse()
 		wicketResponse = new WebResponse(servletResponse);
 	}
 
-	/**
-	 * If true, runtime exception will not be handled by Wicket. Instead the
-	 * exception will be rethrown.
-	 * 
-	 * @param enable
-	 */
-	public void setRethrowRuntimeException(boolean enable)
-	{
-		this.rethrowRuntimeException = enable;
-	}
-
 	/**
 	 * Gets the parameters to be set on the next request.
 	 * 
```


File: wicket/src/test/wicket/markup/parser/filter/HeaderSectionTest.java
Status: modified
```diff
@@ -44,7 +44,6 @@ public class HeaderSectionTest extends TestCase
 	protected void setUp() throws Exception
 	{
 		application = new MockWebApplication(null);
-		application.setRethrowRuntimeException(true);
 	}
 	
 	/**
```",2,1,3,3
zeroshot-v1,Feat: Add constructor method to Reflection2 class This commit adds a new method `constructor` to the `Reflection2` class. This method returns an `Invokable` object that reflects a constructor present in the `TypeToken` type.,"File: core/src/main/java/org/jclouds/reflect/Reflection2.java
Status: modified
```diff
@@ -71,6 +71,23 @@ public static <T> TypeToken<T> typeToken(Class<T> in) {
       return (TypeToken<T>) get(typeTokenForClass, checkNotNull(in, ""class""));
    }
 
+   /**
+    * returns an {@link Invokable} object that reflects a constructor present in the {@link TypeToken} type.
+    * 
+    * @param ownerType
+    *           corresponds to {@link Invokable#getOwnerType()}
+    * @param parameterTypes
+    *           corresponds to {@link Constructor#getParameterTypes()}
+    * 
+    * @throws IllegalArgumentException
+    *            if the constructor doesn't exist or a security exception occurred
+    */
+   @SuppressWarnings(""unchecked"")
+   public static <T> Invokable<T, T> constructor(Class<T> ownerType, Class<?>... parameterTypes) {
+      return (Invokable<T, T>) get(constructorForParams, new TypeTokenAndParameterTypes(typeToken(ownerType),
+            parameterTypes));
+   }
+
    /**
     * return all constructors present in the class as {@link Invokable}s.
     * 
```",4,3,3,4
zeroshot-v1,"Fix: Update default ciphers in AbstractEndpoint The default ciphers used in the AbstractEndpoint class, which manages server socket connections, have been updated. The previous cipher string ""HIGH:!aNULL:!eNULL:!EXPORT:!DES:!RC4:!MD5"" has been replaced with ""HIGH:!aNULL:!eNULL:!EXPORT:!DES:!RC4:!MD5:!kRSA"". This change is part of a fix to improve the security of the server socket connections managed by the AbstractEndpoint class.","File: java/org/apache/tomcat/util/net/AbstractEndpoint.java
Status: modified
```diff
@@ -52,7 +52,7 @@ public abstract class AbstractEndpoint<S> {
 
     // -------------------------------------------------------------- Constants
 
-    protected static final String DEFAULT_CIPHERS = ""HIGH:!aNULL:!eNULL:!EXPORT:!DES:!RC4:!MD5"";
+    protected static final String DEFAULT_CIPHERS = ""HIGH:!aNULL:!eNULL:!EXPORT:!DES:!RC4:!MD5:!kRSA"";
 
     protected static final StringManager sm = StringManager.getManager(
             AbstractEndpoint.class.getPackage().getName());
```",4,4,3,4
zeroshot-v1,remove unused field,"File: src/protocol/ldap/org/apache/jmeter/protocol/ldap/control/gui/LdapExtTestSamplerGui.java
Status: modified
```diff
@@ -21,7 +21,6 @@
 
 import javax.swing.JPanel;
 
-import org.apache.jmeter.config.gui.LoginConfigGui;
 import org.apache.jmeter.protocol.ldap.config.gui.LdapExtConfigGui;
 import org.apache.jmeter.protocol.ldap.sampler.LDAPExtSampler;
 import org.apache.jmeter.samplers.gui.AbstractSamplerGui;
@@ -41,7 +40,6 @@
  ***************************************/
 
 public class LdapExtTestSamplerGui extends AbstractSamplerGui {
-    private LoginConfigGui loginPanel;
     private LdapExtConfigGui ldapDefaultPanel;
 
     /****************************************
```",2,2,3,3
zeroshot-v1,import clean up,"File: src/blocks/woody/java/org/apache/cocoon/woody/samples/Sex.java
Status: modified
```diff
@@ -52,14 +52,13 @@ INDIRECT, INCIDENTAL, SPECIAL,  EXEMPLARY, OR CONSEQUENTIAL  DAMAGES (INCLU-
 
 import java.util.ArrayList;
 import java.util.Collection;
-import java.util.List;
 import java.util.Locale;
 
 import org.apache.cocoon.woody.datatype.Enum;
 
 /**
  * Description of Sex.
- * @version CVS $Id: Sex.java,v 1.3 2003/11/07 22:04:38 ugo Exp $
+ * @version CVS $Id: Sex.java,v 1.4 2003/11/08 14:27:03 joerg Exp $
  */
 public class Sex implements Enum {
 
```",2,1,1,2
zeroshot-v1,fix npe in ProductStoreWorker,"File: applications/product/src/org/ofbiz/product/store/ProductStoreWorker.java
Status: modified
```diff
@@ -76,8 +76,8 @@ public static GenericValue getProductStore(ServletRequest request) {
 
     public static String getProductStoreId(ServletRequest request) {
         HttpServletRequest httpRequest = (HttpServletRequest) request;
-        HttpSession session = httpRequest.getSession();
-        if (session.getAttribute(""productStoreId"") != null) {
+        HttpSession session = httpRequest.getSession(false);
+        if (session != null && session.getAttribute(""productStoreId"") != null) {
             return (String) session.getAttribute(""productStoreId"");
         } else {
             GenericValue webSite = CatalogWorker.getWebSite(request);
```",3,2,3,3
zeroshot-v1,remove unused method,"File: container/openejb-activemq4/src/test/java/org/apache/openejb/core/mdb/JmsProxyTest.java
Status: modified
```diff
@@ -24,8 +24,6 @@
 
 public class JmsProxyTest extends JmsTest {
 
-    // set up in the parent class
-
     public void testProxy() throws Exception {
         // create reciever object
         JmsProxyTest.TestObject testObject = new JmsProxyTest.TestObject(""foo"");
```",3,2,4,3
